2026-03-18 09:00:02 | WARN | service_b | Retry attempt 2
2026-03-18 09:00:03 | INFO | service_b | Health check passed
2026-03-18 09:00:03 | INFO | service_b | Request completed in 120ms
2026-03-18 09:00:05 | INFO | db_service | Connection pool size: 10
2026-03-18 09:00:06 | INFO | auth_service | Request completed in 120ms
2026-03-18 09:00:08 | WARN | service_a | Circuit breaker half-open
2026-03-18 09:00:09 | INFO | service_a | Connection pool size: 10
2026-03-18 09:00:11 | WARN | service_a | Retry attempt 2
2026-03-18 09:00:12 | INFO | db_service | Cache hit ratio 0.94
2026-03-18 09:00:12 | WARN | service_b | Slow query detected: 320ms
2026-03-18 09:00:12 | INFO | service_c | Request completed in 120ms
2026-03-18 09:00:12 | INFO | service_b | Connection pool size: 10
2026-03-18 09:00:13 | WARN | service_c | Retry attempt 1
2026-03-18 09:00:13 | ERROR | service_b | Connection refused
2026-03-18 09:00:14 | ERROR | db_service | Timeout occurred
2026-03-18 09:00:14 | INFO | db_service | Connection pool size: 10
2026-03-18 09:00:15 | WARN | service_c | Retry attempt 2
2026-03-18 09:00:16 | INFO | service_c | Request completed in 85ms
2026-03-18 09:00:16 | INFO | db_service | Config reloaded
2026-03-18 09:00:16 | ERROR | db_service | Connection refused
2026-03-18 09:00:18 | INFO | auth_service | Request completed in 120ms
2026-03-18 09:00:18 | INFO | auth_service | Cache hit ratio 0.94
2026-03-18 09:00:18 | WARN | service_c | Retry attempt 1
2026-03-18 09:00:20 | ERROR | auth_service | Connection refused
2026-03-18 09:00:21 | INFO | auth_service | Cache hit ratio 0.94
2026-03-18 09:00:21 | INFO | db_service | User login successful
2026-03-18 09:00:23 | INFO | db_service | Health check passed
2026-03-18 09:00:23 | INFO | auth_service | Cache hit ratio 0.94
2026-03-18 09:00:23 | INFO | service_a | Config reloaded
2026-03-18 09:00:25 | INFO | auth_service | Cache hit ratio 0.94
2026-03-18 09:00:26 | INFO | service_b | Request completed in 85ms
2026-03-18 09:00:26 | INFO | db_service | Cache hit ratio 0.94
2026-03-18 09:00:28 | INFO | service_b | Request completed in 85ms
2026-03-18 09:00:30 | INFO | service_b | Connection pool size: 10
2026-03-18 09:00:32 | INFO | auth_service | Request completed in 85ms
2026-03-18 09:00:33 | INFO | service_b | Connection pool size: 10
